Friday,1/1/2016,New Years Day
Sunday,3/6/2016,Mothers Day
Thursday,3/17/2016,St Patricks Day
Friday,3/25/2016,Good Friday
Monday,3/28/2016,Easter Monday
Monday,5/2/2016,May Bank Holiday
Monday,6/6/2016,June Bank Holiday
Sunday,6/19/2016,Fathers Day
Monday,8/1/2016,August Bank Holiday
Monday,10/31/2016,October Holiday (Halloween)
Sunday,12/25/2016,Christmas Day
Monday,12/26/2016,St Stephens Day
Tuesday,12/27/2016,Christmas Day (in lieu)
Wednesday,12/28/2016,Bank Holiday
Sunday,1/1/2017,New Years Day
Monday,1/2/2017,New Years Holiday
Friday,3/17/2017,St Patricks Day
Sunday,3/26/2017,Mothers Day
Friday,4/14/2017,Good Friday
Monday,4/17/2017,Easter Monday
Monday,5/1/2017,May Bank Holiday
Monday,6/5/2017,June Bank Holiday
Sunday,6/18/2017,Fathers Day
Monday,8/7/2017,August Bank Holiday
Monday,10/30/2017,October Holiday (Halloween)
Monday,12/25/2017,Christmas Day
Tuesday,12/26/2017,St Stephens Day
Wednesday,12/27/2017,Bank Holiday
Monday,1/1/2018,New Years Day
Sunday,3/11/2018,Mothering Sunday
Monday,3/19/2018,St. Patricks Day Holiday
Friday,3/30/2018,Good Friday
Monday,4/2/2018,Easter Monday
Monday,5/7/2018,May Bank Holiday
Monday,6/4/2018,June Bank Holiday
Sunday,6/17/2018,Fathers Day
Monday,8/6/2018,August Bank Holiday
Monday,10/29/2018,October Holiday (Halloween)
Tuesday,12/25/2018,Christmas Day
Wednesday,12/26/2018,St Stephens Day
Thursday,12/27/2018,Bank Holiday
